2,3
3,3
4,10
8,0
3,1
4,0
4,0
8,10
8,14
8,10
8,10
8,10
8,14
6,10
3,2
3,0
5,10
4,3
6,1
4,0
8,3
7,0
7,10
4,1
1,1
3,10
1,3
1,1
1,6
-1,3
-2,0
0,0
1,1
0,1
1,1
0,1
1,1
3,0
5,8
4,3
2,0
2,1
1,0
4,0
6,10
4,0
7,10
7,0
1,0
3,1
4,0
2,0
5,0
2,0
4,0
5,14
7,10
7,10
8,10
5,8
2,3
5,6
7,0
5,10
7,10
7,10
11,14
11,8
12,14
8,7
11,8
12,14
12,14
13,14
12,10
16,10
18,14
17,13
16,3
16,10
15,10
11,10
6,2
6,1
6,5
6,10
6,5
12,3
15,11
17,14
18,14
18,10
17,10
12,10
17,10
15,6
17,6
19,10
19,10
13,5
16,10
15,10
16,10
14,10
15,10
10,10
10,10
13,10
14,10
12,10
7,8
11,10
17,10
18,10
18,10
19,10
19,10
16,10
15,10
16,10
18,10
20,10
17,8
12,4
15,10
19,10
20,10
16,3
19,10
22,10
21,10
14,1
15,10
12,10
16,10
13,10
13,10
15,10
14,10
19,10
21,10
22,10
26,10
21,10
22,10
24,8
17,10
17,10
18,8
19,8
20,10
16,10
18,10
20,10
19,10
21,3
17,10
24,10
26,10
29,10
31,10
30,10
30,10
29,10
23,10
23,10
20,10
20,10
18,10
22,10
23,10
22,10
21,10
26,10
27,10
21,1
19,5
20,10
21,10
23,10
19,6
19,10
18,10
22,10
24,10
26,14
26,0
26,10
28,10
20,8
19,5
14,10
22,10
22,10
20,10
22,10
24,10
27,10
27,10
27,10
28,10
28,10
21,10
21,10
22,10
23,10
22,10
22,8
21,10
24,10
21,10
21,3
20,10
26,10
26,10
25,10
27,10
20,10
24,10
26,10
26,10
27,10
27,10
28,10
16,10
18,4
15,9
16,6
16,0
20,10
21,10
17,10
19,2
21,10
17,10
15,3
16,10
18,10
17,10
23,10
21,10
24,10
23,10
21,10
13,10
11,6
14,10
17,2
19,0
19,0
22,10
24,0
25,10
19,10
13,10
13,6
12,5
15,10
21,10
16,10
19,10
18,10
21,10
23,8
22,10
20,10
18,10
18,10
15,6
17,10
20,10
21,10
24,10
23,10
15,9
20,0
17,10
17,10
17,3
15,5
16,6
18,9
21,10
21,5
22,10
21,10
22,10
21,10
20,10
17,10
21,10
19,10
22,10
20,14
19,10
11,10
10,10
17,10
11,8
12,5
8,10
8,1
6,3
13,14
13,14
13,14
14,10
14,10
12,8
12,3
11,1
11,0
11,0
12,8
12,3
11,3
10,0
10,3
9,3
11,6
11,3
10,10
4,2
7,0
7,3
3,0
6,6
3,0
4,0
3,0
3,1
3,6
8,1
9,0
6,0
4,2
2,0
2,1
1,1
2,0
2,1
3,6
4,0
4,10
2,14
3,10
6,10
8,10
9,10
9,10
8,2
6,2
8,14
9,14
8,10
5,14
5,10
6,10
4,14
6,10
3,10
-1,0
-2,2
-3,14
-5,6
